gameState,setPlay,timeLeft,robotNumber,"robotPose X","robotPose Y","robotPose R",distanceToGoal,ballIsNear,"ballPosition X","ballPosition Y",ballDistanceToBot,ballDistanceToGoal,"team1 X","team1 Y","team2 X","team2 Y","team3 X","team3 Y","team4 X","team4 Y","team5 X","team5 Y","opponent1 X","opponent1 Y","opponent2 X","opponent2 Y","opponent3 X","opponent3 Y","opponent4 X","opponent4 Y","opponent5 X","opponent5 Y"
3,0,593,2,-2581.94,-2363.19,0.700707,7489.54,0,-0.000244141,0,3500.15,4525,-3996.85,1593.02,-1160.36,2439.66,-461.383,1503.54,268.875,-1983.85,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,593,2,-2581.93,-2363.19,0.700716,7489.54,0,0,0,3500.15,4525,-3987.88,1673.8,-1243.25,2463.91,-479.607,1583.27,204.008,-2032.2,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,594,2,-2581.94,-2363.19,0.700755,7489.54,0,0,0,3500.15,4525,-3984.58,1740.94,-1321.2,2477.7,-497.194,1659.05,144.591,-2080.25,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,594,2,-2581.94,-2363.19,0.701005,7489.54,0,0,0,3500.15,4525,-3977.29,1823.47,-1403.77,2498.28,-517.328,1739.07,78.4658,-2128.54,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,595,2,-2581.84,-2363.29,0.702431,7489.48,0,0,0,3500.15,4525,-3969.87,1905.9,-1489.77,2509.49,-537.458,1818.61,16.0618,-2176.22,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,595,2,-2580.65,-2364.24,0.709805,7488.65,0,0,0.000244141,3499.92,4525,-3961.92,1986.08,-1572.79,2512.91,-554.245,1895.74,-47.0618,-2221.09,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,596,2,-2612.51,-2390.71,0.697727,7527.26,0,0.000244141,-0.000244141,3541.29,4525,-3953.56,2072.21,-1659.37,2513.3,-578.172,1978.95,-111.559,-2271.26,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,596,2,-2673.28,-2445.96,0.749552,7602.5,0,-0.000244141,0,3623.42,4525,-3945.82,2154.8,-1745.94,2509.45,-600.03,2060.88,-174.8,-2323.19,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,597,2,-2728.26,-2501.12,0.782096,7672.38,0,-0.000244141,0,3701.22,4525,-3932.4,2242.64,-1831.39,2497.85,-617.157,2138.26,-236.263,-2370.58,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
3,0,597,2,-2785.53,-2563.95,0.863455,7747.11,0,0,0.000244141,3785.9,4525,-3923.61,2327.18,-1901.95,2489.24,-637.565,2220.83,-298.298,-2426.66,0,0,1987.4,-400,1487.4,900,1087.4,-1300,887.401,7.75791e-05,4487.4,0.000392301
