skillName,maxTime,angleParam1,angleParam2,"poseParam X","poseParam Y","poseParam R","vector3Param X","vector3Param Y","vector3Param Z",boolParam,floatParam,intParam,stringParam
WalkAtRelativeSpeed,120,0,0,0.0156255,0,-0.0476394,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0156255,0,-0.0476394,0,0,0,0,0,0,
Stand,120,0,0,0,0,0,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0156255,0,-0.0476394,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0156255,0,-0.0476394,0,0,0,0,0,0,
Stand,108,0,0,0,0,0,0,0,0,0,0,0,
Stand,108,0,0,0,0,0,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0156255,0,-0.0476394,0,0,0,0,0,0,
Stand,120,0,0,0,0,0,0,0,0,0,0,0,
Stand,120,0,0,0,0,0,0,0,0,0,0,0,
Stand,36,0,0,0,0,0,0,0,0,0,0,0,
WalkToBall,7272,0,0,0,0,0,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.234382,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0781274,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0781274,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0781274,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,0.0781274,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,0.0781274,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0781274,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0703146,0,1,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,0.0703146,0,1,0,0,0,0,0,0,
Stand,120,0,0,0,0,0,0,0,0,0,0,0,
Stand,120,0,0,0,0,0,0,0,0,0,0,0,
Stand,108,0,0,0,0,0,0,0,0,0,0,0,
Stand,108,0,0,0,0,0,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.325419,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.0159001,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,-1.00003,0,-0.00796533,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,0.0156255,0,-0.0476394,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,1,0,-0.0555742,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,1,0,-0.0555742,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,1,0,-0.0555742,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,1,0,-0.0555742,0,0,0,0,0,0,
WalkAtRelativeSpeed,120,0,0,1,0,-0.0555742,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,1,0,-0.0555742,0,0,0,0,0,0,
WalkAtRelativeSpeed,108,0,0,1,0,-0.0555742,0,0,0,0,0,0,
