Frequenz (Hz)	Pegel (dB)
11498,730469	-103,672081
11541,796875	-103,242386
11584,863281	-103,394646
11627,929688	-103,902069
11670,996094	-104,142288
11714,062500	-104,912910
11757,128906	-105,281647
11800,195313	-105,657951
11843,261719	-106,602219
11886,328125	-107,246445
11929,394531	-104,893120
11972,460938	-102,516106
12015,527344	-104,736252
12058,593750	-106,495003
12101,660156	-105,772530
12144,726563	-105,214844
12187,792969	-106,709900
12230,859375	-108,290443
12273,925781	-107,185371
12316,992188	-106,577309
12360,058594	-106,367798
12403,125000	-106,896652
12446,191406	-105,602592
12489,257813	-104,657158
12532,324219	-105,256462
12575,390625	-105,673393
12618,457031	-105,985771
12661,523438	-107,174522
12704,589844	-108,762047
12747,656250	-106,535675
12790,722656	-106,297432
12833,789063	-107,754547
12876,855469	-108,745575
12919,921875	-107,037117
12962,988281	-106,311867
13006,054688	-107,974899
13049,121094	-108,093590
13092,187500	-109,188492
13135,253906	-107,970947
13178,320313	-106,526543
13221,386719	-106,353516
13264,453125	-106,466530
13307,519531	-106,138191
13350,585938	-107,396904
13393,652344	-105,817162
13436,718750	-105,818840
13479,785156	-105,941093
13522,851563	-106,018776
13565,917969	-107,129013
13608,984375	-106,068741
13652,050781	-104,160782
13695,117188	-103,616798
13738,183594	-103,907845
13781,250000	-105,340569
13824,316406	-106,413872
13867,382813	-106,867027
13910,449219	-106,196014
13953,515625	-104,794167
13996,582031	-105,817467
14039,648438	-107,466805
14082,714844	-107,268196
14125,781250	-107,119186
14168,847656	-106,407845
14211,914063	-107,725006
14254,980469	-108,487610
14298,046875	-108,982109
14341,113281	-108,128456
14384,179688	-107,223656
14427,246094	-107,869926
14470,312500	-108,605850
14513,378906	-108,933372
14556,445313	-107,558800
14599,511719	-106,580742
14642,578125	-107,059471
14685,644531	-107,380699
14728,710938	-107,030655
14771,777344	-106,320053
14814,843750	-108,035255
14857,910156	-107,946266
14900,976563	-107,077621
14944,042969	-107,741989
14987,109375	-107,847267
15030,175781	-107,756088
15073,242188	-110,249031
15116,308594	-109,492424
15159,375000	-107,765198
15202,441406	-107,942413
15245,507813	-107,998901
15288,574219	-106,790977
15331,640625	-104,464455
15374,707031	-102,588661
15417,773438	-104,792259
15460,839844	-102,708801
15503,906250	-102,311073
15546,972656	-101,634377
